"date","subways_total_estimated_ridership","buses_total_estimated_ridersip"
"2021-09-24T00:00:00.000","3121747","1469705"
"2021-09-25T00:00:00.000","2129492","872490"
"2021-09-26T00:00:00.000","1614677","657257"
"2021-09-27T00:00:00.000","2873368","1489441"
"2021-09-28T00:00:00.000","2927715","1457421"
"2021-09-29T00:00:00.000","3063720","1513184"
"2021-09-30T00:00:00.000","3146861","1516081"
"2021-10-01T00:00:00.000","3162881","1492942"
"2021-10-02T00:00:00.000","2063660","883902"
"2021-10-03T00:00:00.000","1575738","673253"
"2021-10-04T00:00:00.000","2864349","1419155"
"2021-10-05T00:00:00.000","3091160","1499767"
"2021-10-06T00:00:00.000","3140986","1532668"
"2021-10-07T00:00:00.000","3190747","1523168"
"2021-10-08T00:00:00.000","3168473","1473912"
"2021-10-09T00:00:00.000","2052699","856308"
"2021-10-10T00:00:00.000","1499385","601821"
"2021-10-11T00:00:00.000","2263615","1045865"
"2021-10-12T00:00:00.000","3102879","1514608"
"2021-10-13T00:00:00.000","3157457","1511356"
"2021-10-14T00:00:00.000","3240686","1527543"
"2021-10-15T00:00:00.000","3227068","1491099"
"2021-10-16T00:00:00.000","2042027","856990"
"2021-10-17T00:00:00.000","1629991","663944"
"2021-10-18T00:00:00.000","2982883","1461843"
"2021-10-19T00:00:00.000","3178208","1510722"
"2021-10-20T00:00:00.000","3234327","1525608"
"2021-10-21T00:00:00.000","3267697","1476434"
"2021-10-22T00:00:00.000","3225816","1471199"
"2021-10-23T00:00:00.000","2077488","847596"
"2021-10-24T00:00:00.000","1599927","659283"
"2021-10-25T00:00:00.000","2994936","1461023"
"2021-10-26T00:00:00.000","2702635","1233660"
"2021-10-27T00:00:00.000","3300580","1503535"
"2021-10-28T00:00:00.000","3365971","1515489"
"2021-10-29T00:00:00.000","3251779","1426938"
"2021-10-30T00:00:00.000","2044310","819620"
"2021-10-31T00:00:00.000","1746769","656203"
"2021-11-01T00:00:00.000","3034306","1448304"
"2021-11-02T00:00:00.000","2848222","1258180"
"2021-11-03T00:00:00.000","3293732","1507287"
"2021-11-04T00:00:00.000","3284315","1486942"
"2021-11-05T00:00:00.000","3293438","1457014"
"2021-11-06T00:00:00.000","2195864","864499"
"2021-11-07T00:00:00.000","1888985","614513"
"2021-11-08T00:00:00.000","3065533","1461178"
"2021-11-09T00:00:00.000","3279457","1518264"
"2021-11-10T00:00:00.000","3351992","1514453"
"2021-11-11T00:00:00.000","2922235","1198235"
"2021-11-12T00:00:00.000","3158682","1350608"
"2021-11-13T00:00:00.000","2169863","815114"
"2021-11-14T00:00:00.000","1703136","657129"
"2021-11-15T00:00:00.000","3110969","1437414"
"2021-11-16T00:00:00.000","3340844","1492110"
"2021-11-17T00:00:00.000","3369069","1501740"
"2021-11-18T00:00:00.000","3412249","1505488"
"2021-11-19T00:00:00.000","3316999","1429787"
"2021-11-20T00:00:00.000","2135731","861772"
"2021-11-21T00:00:00.000","1674206","674551"
"2021-11-22T00:00:00.000","3130363","1418226"
"2021-11-23T00:00:00.000","3286591","1424890"
"2021-11-24T00:00:00.000","3085289","1343391"
"2021-11-25T00:00:00.000","1357198","509782"
"2021-11-26T00:00:00.000","2089772","843588"
"2021-11-27T00:00:00.000","1880422","750986"
"2021-11-28T00:00:00.000","1465745","592081"
"2021-11-29T00:00:00.000","2996015","1381661"
"2021-11-30T00:00:00.000","3207209","1432539"
"2021-12-01T00:00:00.000","3326469","1463384"
"2021-12-02T00:00:00.000","3358843","1449142"
"2021-12-03T00:00:00.000","3374097","1419078"
"2021-12-04T00:00:00.000","2318147","864764"
"2021-12-05T00:00:00.000","1737352","665129"
"2021-12-06T00:00:00.000","3135869","1394230"
"2021-12-07T00:00:00.000","3367790","1453136"
"2021-12-08T00:00:00.000","3378727","1430106"
"2021-12-09T00:00:00.000","3433600","1436883"
"2021-12-10T00:00:00.000","3417451","1404176"
"2021-12-11T00:00:00.000","2266265","786137"
"2021-12-12T00:00:00.000","1829872","627007"
"2021-12-13T00:00:00.000","3120850","1333718"
"2021-12-14T00:00:00.000","3274170","1378221"
"2021-12-15T00:00:00.000","3242168","1436154"
"2021-12-16T00:00:00.000","3219799","1438193"
"2021-12-17T00:00:00.000","3112088","1375383"
"2021-12-18T00:00:00.000","1880969","786073"
"2021-12-19T00:00:00.000","1579809","636393"
"2021-12-20T00:00:00.000","2716451","1277654"
"2021-12-21T00:00:00.000","2697325","1299476"
"2021-12-22T00:00:00.000","2634565","1252621"
"2021-12-23T00:00:00.000","2486489","1166953"
"2021-12-24T00:00:00.000","1575449","746809"
"2021-12-25T00:00:00.000","810937","329549"
"2021-12-26T00:00:00.000","1284738","518897"
"2021-12-27T00:00:00.000","2007649","890096"
"2021-12-28T00:00:00.000","2168419","953933"
"2021-12-29T00:00:00.000","2167077","921562"
"2021-12-30T00:00:00.000","2198415","928012"
"2021-12-31T00:00:00.000","1627589","699749"
"2022-01-01T00:00:00.000","1027918","350845"
"2022-01-02T00:00:00.000","1219735","475096"
"2022-01-03T00:00:00.000","2168229","1000002"
"2022-01-04T00:00:00.000","2289352","1082360"
"2022-01-05T00:00:00.000","2267942","1078511"
"2022-01-06T00:00:00.000","2391176","1146904"
"2022-01-07T00:00:00.000","2121941","880997"
"2022-01-08T00:00:00.000","1486065","631341"
"2022-01-09T00:00:00.000","1102472","475438"
"2022-01-10T00:00:00.000","2347323","1147341"
"2022-01-11T00:00:00.000","2266378","1040581"
"2022-01-12T00:00:00.000","2459224","1179931"
"2022-01-13T00:00:00.000","2524197","1218552"
"2022-01-14T00:00:00.000","2522972","1186647"
"2022-01-15T00:00:00.000","1434676","573037"
"2022-01-16T00:00:00.000","1165626","456257"
"2022-01-17T00:00:00.000","1600048","694066"
"2022-01-18T00:00:00.000","2541044","1222195"
"2022-01-19T00:00:00.000","2642129","1286788"
"2022-01-20T00:00:00.000","2545486","1181953"
"2022-01-21T00:00:00.000","2565781","1151816"
"2022-01-22T00:00:00.000","1583650","655490"
"2022-01-23T00:00:00.000","1245716","529115"
"2022-01-24T00:00:00.000","2536827","1244112"
"2022-01-25T00:00:00.000","2701246","1308979"
"2022-01-26T00:00:00.000","2711803","1266798"
"2022-01-27T00:00:00.000","2724979","1275573"
"2022-01-28T00:00:00.000","2703403","1208092"
"2022-01-29T00:00:00.000","999347","271959"
"2022-01-30T00:00:00.000","1262477","460299"
"2022-01-31T00:00:00.000","2575762","1139164"
"2022-02-01T00:00:00.000","2635083","1127084"
"2022-02-02T00:00:00.000","2940152","1314898"
"2022-02-03T00:00:00.000","2914198","1304726"
"2022-02-04T00:00:00.000","2725725","1176367"
"2022-02-05T00:00:00.000","1792780","726750"
"2022-02-06T00:00:00.000","1323892","558211"
"2022-02-07T00:00:00.000","2784230","1297024"
"2022-02-08T00:00:00.000","3016648","1387432"
"2022-02-09T00:00:00.000","3088775","1421706"
"2022-02-10T00:00:00.000","3112489","1423775"
"2022-02-11T00:00:00.000","3015472","1348189"
"2022-02-12T00:00:00.000","2026308","820629"
"2022-02-13T00:00:00.000","1349864","510307"
"2022-02-14T00:00:00.000","2907825","1272100"
"2022-02-15T00:00:00.000","3030742","1340123"
"2022-02-16T00:00:00.000","3100639","1406714"
"2022-02-17T00:00:00.000","3109956","1408571"
"2022-02-18T00:00:00.000","2953785","1285978"
"2022-02-19T00:00:00.000","1792136","723602"
"2022-02-20T00:00:00.000","1477125","571789"
"2022-02-21T00:00:00.000","1942267","873961"
"2022-02-22T00:00:00.000","2669508","1143526"
"2022-02-23T00:00:00.000","2894245","1247209"
"2022-02-24T00:00:00.000","2858146","1196924"
"2022-02-25T00:00:00.000","2575630","1027563"
"2022-02-26T00:00:00.000","1824833","775358"
"2022-02-27T00:00:00.000","1403227","604646"
"2022-02-28T00:00:00.000","2915786","1362855"
"2022-03-01T00:00:00.000","3138181","1435834"
"2022-03-02T00:00:00.000","3208166","1463263"
"2022-03-03T00:00:00.000","3207495","1434851"
"2022-03-04T00:00:00.000","3077537","1363159"
"2022-03-05T00:00:00.000","1955535","812774"
"2022-03-06T00:00:00.000","1444501","600501"
"2022-03-07T00:00:00.000","2980920","1395540"
"2022-03-08T00:00:00.000","3244473","1456451"
"2022-03-09T00:00:00.000","3113559","1338822"
"2022-03-10T00:00:00.000","3339363","1476288"
"2022-03-11T00:00:00.000","3195956","1419371"
"2022-03-12T00:00:00.000","1663893","637601"
"2022-03-13T00:00:00.000","1479406","590753"
"2022-03-14T00:00:00.000","3008800","1406578"
"2022-03-15T00:00:00.000","3275906","1454522"
"2022-03-16T00:00:00.000","3332335","1476356"
"2022-03-17T00:00:00.000","3175784","1350810"
"2022-03-18T00:00:00.000","3275433","1402806"
"2022-03-19T00:00:00.000","2001839","820933"
"2022-03-20T00:00:00.000","1656673","628693"
"2022-03-21T00:00:00.000","3034759","1418900"
"2022-03-22T00:00:00.000","3276940","1471299"
"2022-03-23T00:00:00.000","3275708","1438665"
"2022-03-24T00:00:00.000","3212181","1373850"
"2022-03-25T00:00:00.000","3218970","1397899"
"2022-03-26T00:00:00.000","2024596","783499"
"2022-03-27T00:00:00.000","1534056","628313"
"2022-03-28T00:00:00.000","2989874","1336330"
"2022-03-29T00:00:00.000","3291883","1430099"
"2022-03-30T00:00:00.000","3336073","1465351"
"2022-03-31T00:00:00.000","3323135","1450363"
"2022-04-01T00:00:00.000","3237107","1411421"
"2022-04-02T00:00:00.000","2128435","879513"
"2022-04-03T00:00:00.000","1463932","607152"
"2022-04-04T00:00:00.000","3127667","1447820"
"2022-04-05T00:00:00.000","3356454","1484961"
"2022-04-06T00:00:00.000","3311547","1403198"
"2022-04-07T00:00:00.000","3307076","1379678"
"2022-04-08T00:00:00.000","3347754","1443367"
"2022-04-09T00:00:00.000","2190396","868945"
"2022-04-10T00:00:00.000","1707748","667662"
"2022-04-11T00:00:00.000","3205728","1433226"
"2022-04-12T00:00:00.000","3078069","1496004"
"2022-04-13T00:00:00.000","3220964","1495891"
"2022-04-14T00:00:00.000","3297697","1438990"
"2022-04-15T00:00:00.000","2761532","1137728"
"2022-04-16T00:00:00.000","1986306","830874"
"2022-04-17T00:00:00.000","1512633","596619"
"2022-04-18T00:00:00.000","2676254","1145261"
"2022-04-19T00:00:00.000","2962130","1189960"
"2022-04-20T00:00:00.000","3098046","1265823"
"2022-04-21T00:00:00.000","3033422","1231047"
"2022-04-22T00:00:00.000","2985684","1217380"
"2022-04-23T00:00:00.000","2109188","844146"
"2022-04-24T00:00:00.000","1655860","648591"
"2022-04-25T00:00:00.000","3026541","1415638"
"2022-04-26T00:00:00.000","3281657","1453452"
"2022-04-27T00:00:00.000","3432282","1500437"
"2022-04-28T00:00:00.000","3404938","1468093"
"2022-04-29T00:00:00.000","3257634","1429909"
"2022-04-30T00:00:00.000","2108746","884540"
"2022-05-01T00:00:00.000","1683953","676070"
"2022-05-02T00:00:00.000","2732825","1176867"
"2022-05-03T00:00:00.000","3402882","1500109"
"2022-05-04T00:00:00.000","3364902","1465639"
"2022-05-05T00:00:00.000","3502522","1523580"
"2022-05-06T00:00:00.000","3190556","1353750"
"2022-05-07T00:00:00.000","1842808","706551"
"2022-05-08T00:00:00.000","1582133","630228"
"2022-05-09T00:00:00.000","3114506","1428758"
"2022-05-10T00:00:00.000","3412902","1504314"
"2022-05-11T00:00:00.000","3440378","1514922"
"2022-05-12T00:00:00.000","3430104","1495220"
"2022-05-13T00:00:00.000","3252002","1410923"
"2022-05-14T00:00:00.000","2149046","840921"
"2022-05-15T00:00:00.000","1760359","692876"
"2022-05-16T00:00:00.000","3080043","1396300"
"2022-05-17T00:00:00.000","3536021","1519740"
"2022-05-18T00:00:00.000","3605606","1511142"
"2022-05-19T00:00:00.000","3467327","1426027"
"2022-05-20T00:00:00.000","3271914","1396732"
"2022-05-21T00:00:00.000","2324245","883795"
"2022-05-22T00:00:00.000","1760638","683500"
"2022-05-23T00:00:00.000","3111755","1431781"
"2022-05-24T00:00:00.000","3378506","1488152"
"2022-05-25T00:00:00.000","3426530","1493506"
"2022-05-26T00:00:00.000","3341059","1464696"
"2022-05-27T00:00:00.000","3031130","1353398"
"2022-05-28T00:00:00.000","1872775","788135"
"2022-05-29T00:00:00.000","1755236","701173"
"2022-05-30T00:00:00.000","1694970","755616"
"2022-05-31T00:00:00.000","3176109","1426470"
"2022-06-01T00:00:00.000","3381297","1465383"
"2022-06-02T00:00:00.000","3351902","1433303"
"2022-06-03T00:00:00.000","3283271","1431042"
"2022-06-04T00:00:00.000","2178024","904623"
"2022-06-05T00:00:00.000","1724983","691644"
"2022-06-06T00:00:00.000","3092181","1411725"
"2022-06-07T00:00:00.000","3392224","1440940"
"2022-06-08T00:00:00.000","3492805","1496144"
"2022-06-09T00:00:00.000","3297157","1333103"
"2022-06-10T00:00:00.000","3376125","1435660"
"2022-06-11T00:00:00.000","2231451","870550"
"2022-06-12T00:00:00.000","1674607","626471"
"2022-06-13T00:00:00.000","3168681","1440429"
"2022-06-14T00:00:00.000","3494822","1493761"
"2022-06-15T00:00:00.000","3526802","1478668"
"2022-06-16T00:00:00.000","3409624","1397317"
"2022-06-17T00:00:00.000","3247379","1397243"
"2022-06-18T00:00:00.000","2186635","884050"
"2022-06-19T00:00:00.000","1725762","693231"
"2022-06-20T00:00:00.000","2460659","1077190"
"2022-06-21T00:00:00.000","3339793","1408052"
"2022-06-22T00:00:00.000","3357113","1361456"
"2022-06-23T00:00:00.000","3407485","1382605"
"2022-06-24T00:00:00.000","3296412","1331442"
"2022-06-25T00:00:00.000","2286963","888953"
"2022-06-26T00:00:00.000","2011977","696910"
"2022-06-27T00:00:00.000","2932598","1279403"
"2022-06-28T00:00:00.000","3248338","1328144"
"2022-06-29T00:00:00.000","3249261","1325530"
"2022-06-30T00:00:00.000","3151572","1300241"
"2022-07-01T00:00:00.000","2827549","1221837"
"2022-07-02T00:00:00.000","1847093","827668"
"2022-07-03T00:00:00.000","1654774","703282"
"2022-07-04T00:00:00.000","1608084","689986"
"2022-07-05T00:00:00.000","2802814","1246208"
"2022-07-06T00:00:00.000","3066462","1330990"
"2022-07-07T00:00:00.000","3115604","1333373"
"2022-07-08T00:00:00.000","2902322","1249434"
"2022-07-09T00:00:00.000","2061419","885289"
"2022-07-10T00:00:00.000","1681041","707984"
"2022-07-11T00:00:00.000","2876587","1312895"
"2022-07-12T00:00:00.000","3148320","1350346"
"2022-07-13T00:00:00.000","3229387","1365172"
"2022-07-14T00:00:00.000","3203104","1355975"
"2022-07-15T00:00:00.000","3021651","1291217"
"2022-07-16T00:00:00.000","2093206","859537"
"2022-07-17T00:00:00.000","1674922","701796"
"2022-07-18T00:00:00.000","2720012","1209240"
"2022-07-19T00:00:00.000","3169016","1372407"
"2022-07-20T00:00:00.000","3190942","1357383"
"2022-07-21T00:00:00.000","3109097","1302978"
"2022-07-22T00:00:00.000","2942752","1267907"
"2022-07-23T00:00:00.000","2028696","862976"
"2022-07-24T00:00:00.000","1596195","674189"
"2022-07-25T00:00:00.000","2727722","1220826"
"2022-07-26T00:00:00.000","3175001","1360570"
"2022-07-27T00:00:00.000","3232796","1369023"
"2022-07-28T00:00:00.000","3151913","1332113"
"2022-07-29T00:00:00.000","2932846","1260714"
"2022-07-30T00:00:00.000","2074421","893846"
"2022-07-31T00:00:00.000","1649097","693700"
"2022-08-01T00:00:00.000","2739262","1240007"
"2022-08-02T00:00:00.000","3070101","1346324"
"2022-08-03T00:00:00.000","3124038","1367848"
"2022-08-04T00:00:00.000","3049076","1323229"
"2022-08-05T00:00:00.000","2822155","1260961"
"2022-08-06T00:00:00.000","1999580","865676"
"2022-08-07T00:00:00.000","1542311","670866"
"2022-08-08T00:00:00.000","2705428","1276524"
"2022-08-09T00:00:00.000","3013784","1308034"
"2022-08-10T00:00:00.000","3134434","1347916"
"2022-08-11T00:00:00.000","3093548","1315101"
"2022-08-12T00:00:00.000","2963913","1273620"
"2022-08-13T00:00:00.000","2089217","878499"
"2022-08-14T00:00:00.000","1677803","692644"
"2022-08-15T00:00:00.000","2768347","1234308"
"2022-08-16T00:00:00.000","3045892","1288800"
"2022-08-17T00:00:00.000","3074027","1284966"
"2022-08-18T00:00:00.000","3077928","1283965"
"2022-08-19T00:00:00.000","2918737","1239929"
"2022-08-20T00:00:00.000","2038622","875371"
"2022-08-21T00:00:00.000","1619422","692309"
"2022-08-22T00:00:00.000","2622885","1144254"
"2022-08-23T00:00:00.000","2992615","1261782"
"2022-08-24T00:00:00.000","3020710","1288092"
"2022-08-25T00:00:00.000","3090901","1310134"
"2022-08-26T00:00:00.000","2863653","1217448"
"2022-08-27T00:00:00.000","2066542","874084"
"2022-08-28T00:00:00.000","1651689","681823"
"2022-08-29T00:00:00.000","2836374","1263000"
"2022-08-30T00:00:00.000","3091873","1326293"
"2022-08-31T00:00:00.000","3144027","1342568"
"2022-09-01T00:00:00.000","3114667","1338287"
"2022-09-02T00:00:00.000","2925306","1250956"
"2022-09-03T00:00:00.000","2116811","867750"
"2022-09-04T00:00:00.000","1802349","701646"
"2022-09-05T00:00:00.000","1691887","682671"
"2022-09-06T00:00:00.000","3063503","1231759"
"2022-09-07T00:00:00.000","3444556","1412342"
"2022-09-08T00:00:00.000","3644407","1517502"
"2022-09-09T00:00:00.000","3481756","1492297"
"2022-09-10T00:00:00.000","2356865","914744"
"2022-09-11T00:00:00.000","1737251","659929"
"2022-09-12T00:00:00.000","3382150","1519324"
"2022-09-13T00:00:00.000","3618354","1557686"
"2022-09-14T00:00:00.000","3741978","1590666"
"2022-09-15T00:00:00.000","3747731","1573907"
"2022-09-16T00:00:00.000","3502358","1501956"
"2022-09-17T00:00:00.000","2350888","916215"
"2022-09-18T00:00:00.000","1844317","712161"
"2022-09-19T00:00:00.000","3369999","1490926"
"2022-09-20T00:00:00.000","3767024","1554448"
"2022-09-21T00:00:00.000","3878782","1543632"
"2022-09-22T00:00:00.000","3732919","1433737"
"2022-09-23T00:00:00.000","3626482","1413234"
"2022-09-24T00:00:00.000","2377091","860948"
"2022-09-25T00:00:00.000","1759832","660871"
"2022-09-26T00:00:00.000","2812853","1206954"
"2022-09-27T00:00:00.000","3204114","1290217"
"2022-09-28T00:00:00.000","3712354","1541900"
"2022-09-29T00:00:00.000","3707751","1503472"
"2022-09-30T00:00:00.000","3503239","1477082"
"2022-10-01T00:00:00.000","2032983","758826"
"2022-10-02T00:00:00.000","1621851","591909"
"2022-10-03T00:00:00.000","3370048","1426633"
"2022-10-04T00:00:00.000","3397689","1354099"
"2022-10-05T00:00:00.000","3077346","1206674"
"2022-10-06T00:00:00.000","3848909","1554806"
"2022-10-07T00:00:00.000","3591080","1480214"
"2022-10-08T00:00:00.000","2397249","888506"
"2022-10-09T00:00:00.000","1917721","691656"
"2022-10-10T00:00:00.000","2556722","1034288"
"2022-10-11T00:00:00.000","3649405","1521587"
"2022-10-12T00:00:00.000","3776129","1554226"
"2022-10-13T00:00:00.000","3682799","1463795"
"2022-10-14T00:00:00.000","3578772","1468602"
"2022-10-15T00:00:00.000","2363501","914771"
"2022-10-16T00:00:00.000","1773903","705073"
"2022-10-17T00:00:00.000","3314497","1430672"
"2022-10-18T00:00:00.000","3693627","1510826"
"2022-10-19T00:00:00.000","3814404","1545140"
"2022-10-20T00:00:00.000","3810901","1532692"
"2022-10-21T00:00:00.000","3570334","1452280"
"2022-10-22T00:00:00.000","2430406","916539"
"2022-10-23T00:00:00.000","1740520","668183"
"2022-10-24T00:00:00.000","3357840","1432728"
"2022-10-25T00:00:00.000","3712582","1512725"
"2022-10-26T00:00:00.000","3794534","1539557"
"2022-10-27T00:00:00.000","3892985","1543031"
"2022-10-28T00:00:00.000","3624748","1455834"
"2022-10-29T00:00:00.000","2440601","912721"
"2022-10-30T00:00:00.000","1875953","711004"
"2022-10-31T00:00:00.000","3410892","1394453"
"2022-11-01T00:00:00.000","3706707","1501329"
"2022-11-02T00:00:00.000","3788123","1549724"
"2022-11-03T00:00:00.000","3802455","1521975"
"2022-11-04T00:00:00.000","3586358","1459619"
"2022-11-05T00:00:00.000","2449943","918127"
"2022-11-06T00:00:00.000","2116063","648085"
"2022-11-07T00:00:00.000","3456868","1478731"
"2022-11-08T00:00:00.000","3431700","1356894"
"2022-11-09T00:00:00.000","3772030","1517250"
"2022-11-10T00:00:00.000","3802230","1516812"
"2022-11-11T00:00:00.000","2994708","1077574"
"2022-11-12T00:00:00.000","2431419","893837"
"2022-11-13T00:00:00.000","1794024","662034"
"2022-11-14T00:00:00.000","3401075","1441705"
"2022-11-15T00:00:00.000","3713627","1483782"
"2022-11-16T00:00:00.000","3751773","1484607"
"2022-11-17T00:00:00.000","3797815","1493119"
"2022-11-18T00:00:00.000","3539202","1412974"
"2022-11-19T00:00:00.000","2323449","864766"
"2022-11-20T00:00:00.000","1721187","645986"
"2022-11-21T00:00:00.000","3363626","1393031"
"2022-11-22T00:00:00.000","3548882","1447618"
"2022-11-23T00:00:00.000","3263998","1358016"
"2022-11-24T00:00:00.000","1382266","515903"
"2022-11-25T00:00:00.000","2058658","842892"
"2022-11-26T00:00:00.000","1999608","781665"
"2022-11-27T00:00:00.000","1476228","562073"
"2022-11-28T00:00:00.000","3265971","1397963"
"2022-11-29T00:00:00.000","3596894","1455294"
"2022-11-30T00:00:00.000","3568413","1356729"
"2022-12-01T00:00:00.000","3770495","1459934"
"2022-12-02T00:00:00.000","3600504","1395642"
"2022-12-03T00:00:00.000","2291687","760109"
"2022-12-04T00:00:00.000","1990479","681713"
"2022-12-05T00:00:00.000","3481640","1429308"
"2022-12-06T00:00:00.000","3753299","1414979"
"2022-12-07T00:00:00.000","3835333","1442871"
"2022-12-08T00:00:00.000","3931499","1480877"
"2022-12-09T00:00:00.000","3710928","1386473"
"2022-12-10T00:00:00.000","2663493","869320"
"2022-12-11T00:00:00.000","1865579","618870"
"2022-12-12T00:00:00.000","3466978","1384864"
"2022-12-13T00:00:00.000","3763568","1437228"
"2022-12-14T00:00:00.000","3777173","1435020"
"2022-12-15T00:00:00.000","3726154","1363160"
"2022-12-16T00:00:00.000","3270016","1221634"
"2022-12-17T00:00:00.000","2577771","884283"
"2022-12-18T00:00:00.000","1967199","668994"
"2022-12-19T00:00:00.000","3381411","1352455"
"2022-12-20T00:00:00.000","3586084","1398728"
"2022-12-21T00:00:00.000","3563236","1393290"
"2022-12-22T00:00:00.000","3187083","1269330"
"2022-12-23T00:00:00.000","2738016","1057686"
"2022-12-24T00:00:00.000","1411469","497129"
"2022-12-25T00:00:00.000","1008452","321245"
"2022-12-26T00:00:00.000","1812842","644828"
"2022-12-27T00:00:00.000","2729514","1027687"
"2022-12-28T00:00:00.000","2947028","1088279"
"2022-12-29T00:00:00.000","3039432","1099513"
"2022-12-30T00:00:00.000","3063480","1087122"
"2022-12-31T00:00:00.000","1927101","651474"
"2023-01-01T00:00:00.000","1675507","475226"
"2023-01-02T00:00:00.000","1938154","739507"
"2023-01-03T00:00:00.000","3175777","1268913"
"2023-01-04T00:00:00.000","3413052","1391449"
"2023-01-05T00:00:00.000","3428520","1378698"
"2023-01-06T00:00:00.000","3229858","1319595"
"2023-01-07T00:00:00.000","2116138","806981"
"2023-01-08T00:00:00.000","1610764","628612"
"2023-01-09T00:00:00.000","3145743","1353638"
"2023-01-10T00:00:00.000","3469177","1412543"
"2023-01-11T00:00:00.000","3508962","1421914"
"2023-01-12T00:00:00.000","3472709","1364715"
"2023-01-13T00:00:00.000","3270020","1345748"
"2023-01-14T00:00:00.000","2072387","785952"
"2023-01-15T00:00:00.000","1705804","621041"
"2023-01-16T00:00:00.000","2172218","884152"
"2023-01-17T00:00:00.000","3451604","1399573"
"2023-01-18T00:00:00.000","3603344","1449590"
"2023-01-19T00:00:00.000","3492226","1327804"
"2023-01-20T00:00:00.000","3375887","1383181"
"2023-01-21T00:00:00.000","2137169","823236"
"2023-01-22T00:00:00.000","1593386","611151"
"2023-01-23T00:00:00.000","3135214","1281037"
"2023-01-24T00:00:00.000","3566756","1410676"
"2023-01-25T00:00:00.000","3511071","1342717"
"2023-01-26T00:00:00.000","3629029","1408545"
"2023-01-27T00:00:00.000","3335372","1341589"
"2023-01-28T00:00:00.000","2248107","861680"
"2023-01-29T00:00:00.000","1637398","647923"
"2023-01-30T00:00:00.000","3223530","1371537"
"2023-01-31T00:00:00.000","3654404","1365926"
"2023-02-01T00:00:00.000","3682758","1460146"
"2023-02-02T00:00:00.000","3699932","1478477"
"2023-02-03T00:00:00.000","3189550","1246821"
"2023-02-04T00:00:00.000","1742435","598818"
"2023-02-05T00:00:00.000","1625375","650623"
"2023-02-06T00:00:00.000","3372445","1431232"
"2023-02-07T00:00:00.000","3738539","1491417"
"2023-02-08T00:00:00.000","3780682","1513135"
"2023-02-09T00:00:00.000","3754859","1462622"
"2023-02-10T00:00:00.000","3539529","1422781"
"2023-02-11T00:00:00.000","2333625","865782"
"2023-02-12T00:00:00.000","1746099","659496"
"2023-02-13T00:00:00.000","3303337","1381524"
"2023-02-14T00:00:00.000","3812943","1480867"
"2023-02-15T00:00:00.000","3762817","1499155"
"2023-02-16T00:00:00.000","3683782","1461093"
"2023-02-17T00:00:00.000","3253165","1315466"
"2023-02-18T00:00:00.000","2271106","822505"
"2023-02-19T00:00:00.000","1824136","639980"
"2023-02-20T00:00:00.000","2238557","929439"
"2023-02-21T00:00:00.000","3325542","1273578"
"2023-02-22T00:00:00.000","3454362","1305744"
"2023-02-23T00:00:00.000","3498367","1328927"
"2023-02-24T00:00:00.000","3246699","1246797"
"2023-02-25T00:00:00.000","2043635","800947"
"2023-02-26T00:00:00.000","1625191","676041"
"2023-02-27T00:00:00.000","3337916","1423292"
"2023-02-28T00:00:00.000","3412079","1349173"
"2023-03-01T00:00:00.000","3780713","1511792"
"2023-03-02T00:00:00.000","3765925","1493623"
"2023-03-03T00:00:00.000","3481830","1417670"
"2023-03-04T00:00:00.000","2173217","870341"
"2023-03-05T00:00:00.000","1772121","712408"
"2023-03-06T00:00:00.000","3427019","1460599"
"2023-03-07T00:00:00.000","3773780","1490272"
"2023-03-08T00:00:00.000","3842861","1514182"
"2023-03-09T00:00:00.000","3827656","1515155"
"2023-03-10T00:00:00.000","3502339","1408909"
"2023-03-11T00:00:00.000","2230530","821990"
"2023-03-12T00:00:00.000","1773585","686039"
"2023-03-13T00:00:00.000","3352388","1377045"
"2023-03-14T00:00:00.000","3577250","1360497"
"2023-03-15T00:00:00.000","3912366","1493605"
"2023-03-16T00:00:00.000","3949788","1522248"
"2023-03-17T00:00:00.000","3661519","1408472"
"2023-03-18T00:00:00.000","2417873","921569"
"2023-03-19T00:00:00.000","1894476","661736"
"2023-03-20T00:00:00.000","3442589","1444823"
"2023-03-21T00:00:00.000","3801084","1511670"
"2023-03-22T00:00:00.000","3797399","1509096"
"2023-03-23T00:00:00.000","3774396","1466839"
"2023-03-24T00:00:00.000","3534300","1420346"
"2023-03-25T00:00:00.000","2153554","784068"
"2023-03-26T00:00:00.000","1939984","724870"
"2023-03-27T00:00:00.000","3397258","1426226"
"2023-03-28T00:00:00.000","3765920","1490842"
"2023-03-29T00:00:00.000","3872948","1521968"
"2023-03-30T00:00:00.000","3860289","1486845"
"2023-03-31T00:00:00.000","3573735","1423686"
"2023-04-01T00:00:00.000","2283533","842213"
"2023-04-02T00:00:00.000","1949665","716880"
"2023-04-03T00:00:00.000","3597785","1475017"
"2023-04-04T00:00:00.000","3906882","1519740"
"2023-04-05T00:00:00.000","3799965","1432322"
"2023-04-06T00:00:00.000","3421271","1264311"
"2023-04-07T00:00:00.000","3130675","1150222"
"2023-04-08T00:00:00.000","2393347","882727"
"2023-04-09T00:00:00.000","1855826","654259"
"2023-04-10T00:00:00.000","3142740","1236634"
"2023-04-11T00:00:00.000","3537843","1316710"
"2023-04-12T00:00:00.000","3576687","1311418"
