pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"Kepler-204 b",14.40097400000,0.1170000000,,"Transit",2014
"Kepler-1928 b",19.57783000000,0.1940000000,1.010000,"Transit",2021
"Kepler-171 b",4.16697200000,0.0500000000,,"Transit",2014
"Kepler-359 d",77.09569100000,0.3720000000,,"Transit",2014
"Kepler-172 b",2.94030900000,0.0400000000,,"Transit",2014
"Kepler-205 b",2.75564000000,0.0320000000,,"Transit",2014
"Kepler-242 b",8.20395000000,0.0750000000,,"Transit",2014
"Kepler-361 b",8.48661600000,0.0860000000,,"Transit",2014
"Kepler-206 c",13.13747100000,0.1110000000,,"Transit",2014
"Kepler-362 b",10.32718600000,0.0870000000,,"Transit",2014
"Kepler-173 c",8.00577700000,0.0740000000,,"Transit",2014
"Kepler-539 b",125.63243000000,0.4988000000,1.048000,"Transit",2016
"Kepler-1126 c",199.66876000000,0.6193000000,0.794000,"Transit",2023
"Kepler-365 c",17.78412900000,0.1370000000,,"Transit",2014
"Kepler-152 b",18.20797300000,0.1240000000,,"Transit",2014
"Kepler-439 b",178.13960000000,0.5630000000,0.884000,"Transit",2015
"Kepler-1801 c",116.58318300000,0.4572000000,0.936000,"Transit",2023
